proteins,NaN_prop_samples_with_targets,NaN_prop_all_samples,target,NaN_control,targeting_pert_ids
Q8IY67,0.0,0.0,False,False,
Q8IY81,0.0,0.0,False,False,
Q8IY95,0.47435897435897434,0.5,False,True,
Q8IYA6,0.9871794871794872,0.9893617021276596,False,True,
Q8IYB1,0.21794871794871795,0.2127659574468085,False,False,
Q8IYB3,0.01282051282051282,0.010638297872340425,False,False,
Q8IYB5,0.9358974358974359,0.9042553191489362,False,True,
Q8IYB7,0.0,0.0,False,False,
Q8IYB8,0.01282051282051282,0.010638297872340425,False,False,
Q8IYD1,0.7051282051282052,0.7127659574468085,False,True,
Q8IYH5,0.02564102564102564,0.031914893617021274,False,False,
Q8IYI6,0.0,0.0,False,False,
Q8IYJ3,0.14102564102564102,0.1702127659574468,False,True,
Q8IYL3,0.7692307692307693,0.7340425531914894,False,True,
Q8IYQ7,0.0,0.0,False,False,
Q8IYS1,0.0,0.0,False,False,
Q8IYS2,0.0,0.0,False,False,
Q8IYT2,0.038461538461538464,0.031914893617021274,False,False,
Q8IYU2,0.01282051282051282,0.02127659574468085,False,False,
Q8IYU8,0.0,0.0,False,False,
Q8IYW5,0.01282051282051282,0.02127659574468085,False,False,
Q8IZ07,0.0,0.0,False,False,
Q8IZ21,0.0,0.0,False,False,
Q8IZ52,0.0,0.0,False,False,
Q8IZ69,0.0,0.0,False,False,
Q8IZ73,0.01282051282051282,0.010638297872340425,False,False,
Q8IZ81,0.1794871794871795,0.22340425531914893,False,False,
Q8IZ83,0.0,0.0,False,False,
Q8IZA0,0.01282051282051282,0.02127659574468085,False,False,
Q8IZC7,0.9102564102564102,0.9148936170212766,False,True,
Q8IZD2,0.19230769230769232,0.1702127659574468,False,False,
Q8IZD4,0.0,0.0,False,False,
Q8IZE3,0.32051282051282054,0.30851063829787234,False,False,
Q8IZH2,0.0,0.0,False,False,
Q8IZJ3,0.9487179487179487,0.9468085106382979,False,True,
Q8IZL2,0.6410256410256411,0.6276595744680851,False,False,
Q8IZL8,0.0,0.0,False,False,
Q8IZM8,0.5128205128205128,0.5212765957446809,False,True,
Q8IZP0,0.0,0.0,False,False,
Q8IZQ1,0.01282051282051282,0.010638297872340425,False,False,
Q8IZQ5,0.01282051282051282,0.010638297872340425,False,False,
Q8IZT6,0.9358974358974359,0.925531914893617,False,True,
Q8IZU9,0.9487179487179487,0.9574468085106383,False,True,
Q8IZV5,0.02564102564102564,0.02127659574468085,False,False,
Q8IZW8,0.28205128205128205,0.2872340425531915,False,True,
Q8IZY2,0.6794871794871795,0.6914893617021277,False,False,
Q8N0S6,0.5128205128205128,0.5106382978723404,False,True,
Q8N0T1,0.7948717948717948,0.8085106382978723,False,True,
Q8N0U4,0.07692307692307693,0.07446808510638298,False,False,
Q8N0U8,0.11538461538461539,0.13829787234042554,False,False,
Q8N0V3,0.0,0.0,False,False,
Q8N0W3,0.3076923076923077,0.30851063829787234,False,True,
Q8N0X4,0.01282051282051282,0.010638297872340425,False,False,
Q8N0Z3,0.08974358974358974,0.0851063829787234,False,False,
Q8N0Z6,0.0,0.0,False,False,
Q8N0Z8,0.02564102564102564,0.031914893617021274,False,False,
Q8N108,0.07692307692307693,0.06382978723404255,False,False,
Q8N122,0.0,0.0,False,False,
Q8N128,0.0,0.010638297872340425,False,False,
Q8N129,0.01282051282051282,0.02127659574468085,False,False,
Q8N131,0.2564102564102564,0.2765957446808511,False,False,
Q8N137,0.5897435897435898,0.5531914893617021,False,False,
Q8N142,0.07692307692307693,0.09574468085106383,False,True,
Q8N159,0.6538461538461539,0.6170212765957447,False,True,
Q8N163,0.0,0.0,False,False,
Q8N183,0.0,0.0,False,False,
Q8N1A6,0.02564102564102564,0.0425531914893617,False,False,
Q8N1B4,0.0,0.0,False,False,
Q8N1F7,0.0,0.0,False,False,
Q8N1F8,0.02564102564102564,0.031914893617021274,False,False,
Q8N1G0,0.11538461538461539,0.10638297872340426,False,False,
Q8N1G1,0.6282051282051282,0.5851063829787234,False,True,
Q8N1G2,0.0,0.0,False,False,
Q8N1G4,0.0,0.0,False,False,
Q8N1I0,0.5,0.5,False,False,
Q8N1K5,0.4358974358974359,0.40425531914893614,False,False,
Q8N1P7,0.0,0.0,False,False,
Q8N1Q1,0.0,0.0,False,False,
Q8N1S5,0.1794871794871795,0.18085106382978725,False,True,
Q8N1W1,0.782051282051282,0.776595744680851,False,True,
Q8N201,0.0,0.0,False,False,
Q8N2F6,0.0,0.0,False,False,
Q8N2G8,0.01282051282051282,0.010638297872340425,False,False,
Q8N2K0,0.0,0.0,False,False,
Q8N2K1,0.46153846153846156,0.5,False,False,
Q8N2M8,0.07692307692307693,0.07446808510638298,False,False,
Q8N2S1,0.01282051282051282,0.010638297872340425,False,False,
Q8N2U0,0.02564102564102564,0.031914893617021274,False,False,
Q8N2W9,0.02564102564102564,0.0425531914893617,False,False,
Q8N2Z9,0.7307692307692307,0.776595744680851,False,True,
Q8N302,0.0,0.0,False,False,
Q8N335,0.0,0.0,False,False,
Q8N357,0.1794871794871795,0.20212765957446807,False,False,
Q8N392,0.0,0.0,False,False,
Q8N394,0.9871794871794872,0.9893617021276596,False,True,
Q8N398,0.0,0.02127659574468085,False,False,
Q8N3C0,0.0,0.0,False,False,
Q8N3C7,0.8974358974358975,0.8829787234042553,False,True,
Q8N3D4,0.0,0.0,False,False,
Q8N3E9,0.0,0.0,False,False,
Q8N3F8,0.0,0.0,False,False,
Q8N3J3,0.1282051282051282,0.1276595744680851,False,False,
Q8N3J9,0.05128205128205128,0.05319148936170213,False,False,
Q8N3K9,0.19230769230769232,0.2127659574468085,False,True,
Q8N3L3,0.14102564102564102,0.1276595744680851,False,False,
Q8N3P4,0.01282051282051282,0.010638297872340425,False,False,
Q8N3R9,0.0,0.0,False,False,
Q8N3U4,0.0,0.0,False,False,
Q8N3V7,0.2564102564102564,0.2765957446808511,False,True,
Q8N3X1,0.05128205128205128,0.0425531914893617,False,False,
Q8N3Y1,0.9487179487179487,0.9574468085106383,False,True,
Q8N3Y3,0.4230769230769231,0.4787234042553192,False,False,
Q8N3Z3,0.0,0.02127659574468085,False,False,
Q8N3Z6,0.9358974358974359,0.9468085106382979,False,True,
Q8N442,0.0,0.0,False,False,
Q8N465,0.11538461538461539,0.11702127659574468,False,False,
Q8N474,0.9871794871794872,0.9787234042553191,False,True,
Q8N488,0.1794871794871795,0.1702127659574468,False,False,
Q8N490,0.0641025641025641,0.07446808510638298,False,False,
Q8N4A0,0.7692307692307693,0.7659574468085106,False,True,
Q8N4C6,0.7307692307692307,0.7021276595744681,False,False,
Q8N4C8,0.0,0.0,False,False,
